Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0201_0603Metric",38.354000,-14.732000,90.000000,bottom
"C2","1u","C_0201_0603Metric",39.370000,-14.732000,90.000000,bottom
"C3","100n","C_0201_0603Metric",40.386000,-14.732000,90.000000,bottom
"C4","100n","C_0201_0603Metric",41.402000,-14.732000,90.000000,bottom
"C5","1u","C_0201_0603Metric",50.038000,-21.336000,90.000000,bottom
"C6","1u","C_0201_0603Metric",332.994000,-22.098000,270.000000,bottom
"C7","100n","C_0201_0603Metric",334.010000,-22.098000,270.000000,bottom
"C8","100n","C_0201_0603Metric",335.026000,-22.098000,270.000000,bottom
"C9","1u","C_0201_0603Metric",336.042000,-22.098000,270.000000,bottom
"C10","10u","C_0201_0603Metric",337.058000,-22.098000,270.000000,bottom
"C11","22pF","C_0201_0603Metric",65.024000,-23.622000,270.000000,bottom
"C12","22pF","C_0201_0603Metric",315.468000,-23.876000,270.000000,bottom
"C13","22pF","C_0201_0603Metric",65.786000,-23.622000,90.000000,bottom
"C14","22pF","C_0201_0603Metric",316.230000,-23.876000,90.000000,bottom
"C15","1uF","C_0201_0603Metric",56.962000,-10.414000,0.000000,bottom
"C16","1uF","C_0201_0603Metric",305.054000,-10.414000,0.000000,bottom
"D1","D_Small","D_0603_1608Metric",29.650000,-28.000000,270.000000,bottom
"D2","D_Small","D_0603_1608Metric",48.650000,-28.000000,270.000000,bottom
"D3","D_Small","D_0603_1608Metric",67.650000,-28.000000,270.000000,bottom
"D4","D_Small","D_0603_1608Metric",86.650000,-28.000000,270.000000,bottom
"D5","D_Small","D_0603_1608Metric",105.650000,-28.000000,270.000000,bottom
"D6","D_Small","D_0603_1608Metric",124.650000,-28.000000,270.000000,bottom
"D7","D_Small","D_0603_1608Metric",143.650000,-28.000000,270.000000,bottom
"D8","D_Small","D_0603_1608Metric",223.650000,-28.000000,270.000000,bottom
"D9","D_Small","D_0603_1608Metric",242.650000,-28.000000,270.000000,bottom
"D10","D_Small","D_0603_1608Metric",261.650000,-28.000000,270.000000,bottom
"D11","D_Small","D_0603_1608Metric",280.650000,-28.000000,270.000000,bottom
"D12","D_Small","D_0603_1608Metric",299.650000,-28.000000,270.000000,bottom
"D13","D_Small","D_0603_1608Metric",318.650000,-28.000000,270.000000,bottom
"D14","D_Small","D_0603_1608Metric",337.650000,-28.000000,270.000000,bottom
"D15","D_Small","D_0603_1608Metric",29.650000,-47.000000,270.000000,bottom
"D16","D_Small","D_0603_1608Metric",48.650000,-47.000000,270.000000,bottom
"D17","D_Small","D_0603_1608Metric",67.650000,-47.000000,270.000000,bottom
"D18","D_Small","D_0603_1608Metric",86.650000,-47.000000,270.000000,bottom
"D19","D_Small","D_0603_1608Metric",105.650000,-47.000000,270.000000,bottom
"D20","D_Small","D_0603_1608Metric",124.650000,-47.000000,270.000000,bottom
"D21","D_Small","D_0603_1608Metric",143.650000,-47.000000,270.000000,bottom
"D22","D_Small","D_0603_1608Metric",223.650000,-47.000000,270.000000,bottom
"D23","D_Small","D_0603_1608Metric",242.650000,-47.000000,270.000000,bottom
"D24","D_Small","D_0603_1608Metric",261.650000,-47.000000,270.000000,bottom
"D25","D_Small","D_0603_1608Metric",280.650000,-47.000000,270.000000,bottom
"D26","D_Small","D_0603_1608Metric",299.650000,-47.000000,270.000000,bottom
"D27","D_Small","D_0603_1608Metric",318.650000,-47.000000,270.000000,bottom
"D28","D_Small","D_0603_1608Metric",337.650000,-47.000000,270.000000,bottom
"D29","D_Small","D_0603_1608Metric",29.650000,-66.000000,270.000000,bottom
"D30","D_Small","D_0603_1608Metric",48.650000,-66.000000,270.000000,bottom
"D31","D_Small","D_0603_1608Metric",67.650000,-66.000000,270.000000,bottom
"D32","D_Small","D_0603_1608Metric",86.650000,-66.000000,270.000000,bottom
"D33","D_Small","D_0603_1608Metric",105.650000,-66.000000,270.000000,bottom
"D34","D_Small","D_0603_1608Metric",124.650000,-66.000000,270.000000,bottom
"D35","D_Small","D_0603_1608Metric",143.650000,-66.000000,270.000000,bottom
"D36","D_Small","D_0603_1608Metric",223.650000,-66.000000,270.000000,bottom
"D37","D_Small","D_0603_1608Metric",242.650000,-66.000000,270.000000,bottom
"D38","D_Small","D_0603_1608Metric",261.650000,-66.000000,270.000000,bottom
"D39","D_Small","D_0603_1608Metric",280.650000,-66.000000,270.000000,bottom
"D40","D_Small","D_0603_1608Metric",299.650000,-66.000000,270.000000,bottom
"D41","D_Small","D_0603_1608Metric",318.650000,-66.000000,270.000000,bottom
"D42","D_Small","D_0603_1608Metric",337.650000,-66.000000,270.000000,bottom
"D43","D_Small","D_0603_1608Metric",29.650000,-85.000000,270.000000,bottom
"D44","D_Small","D_0603_1608Metric",48.650000,-85.000000,270.000000,bottom
"D45","D_Small","D_0603_1608Metric",67.650000,-85.000000,270.000000,bottom
"D46","D_Small","D_0603_1608Metric",86.650000,-85.000000,270.000000,bottom
"D47","D_Small","D_0603_1608Metric",105.650000,-85.000000,270.000000,bottom
"D48","D_Small","D_0603_1608Metric",124.650000,-85.000000,270.000000,bottom
"D49","D_Small","D_0603_1608Metric",143.650000,-85.000000,270.000000,bottom
"D50","D_Small","D_0603_1608Metric",223.650000,-85.000000,270.000000,bottom
"D51","D_Small","D_0603_1608Metric",242.650000,-85.000000,270.000000,bottom
"D52","D_Small","D_0603_1608Metric",261.650000,-85.000000,270.000000,bottom
"D53","D_Small","D_0603_1608Metric",280.650000,-85.000000,270.000000,bottom
"D54","D_Small","D_0603_1608Metric",299.650000,-85.000000,270.000000,bottom
"D55","D_Small","D_0603_1608Metric",328.150000,-85.000000,270.000000,bottom
"D56","D_Small","D_0603_1608Metric",29.650000,-104.000000,270.000000,bottom
"D57","D_Small","D_0603_1608Metric",48.650000,-104.000000,270.000000,bottom
"D58","D_Small","D_0603_1608Metric",67.650000,-104.000000,270.000000,bottom
"D59","D_Small","D_0603_1608Metric",86.650000,-104.000000,270.000000,bottom
"D60","D_Small","D_0603_1608Metric",105.650000,-104.000000,270.000000,bottom
"D61","D_Small","D_0603_1608Metric",124.650000,-104.000000,270.000000,bottom
"D62","D_Small","D_0603_1608Metric",143.650000,-104.000000,270.000000,bottom
"D63","D_Small","D_0603_1608Metric",223.650000,-104.000000,270.000000,bottom
"D64","D_Small","D_0603_1608Metric",242.650000,-104.000000,270.000000,bottom
"D65","D_Small","D_0603_1608Metric",261.650000,-104.000000,270.000000,bottom
"D66","D_Small","D_0603_1608Metric",280.650000,-104.000000,270.000000,bottom
"D67","D_Small","D_0603_1608Metric",299.650000,-104.000000,270.000000,bottom
"D68","D_Small","D_0603_1608Metric",318.650000,-104.000000,270.000000,bottom
"D69","D_Small","D_0603_1608Metric",337.650000,-104.000000,270.000000,bottom
"D70","D_Small","D_0603_1608Metric",29.650000,-123.000000,270.000000,bottom
"D71","D_Small","D_0603_1608Metric",48.650000,-123.000000,270.000000,bottom
"D72","D_Small","D_0603_1608Metric",67.650000,-123.000000,270.000000,bottom
"D73","D_Small","D_0603_1608Metric",86.650000,-123.000000,270.000000,bottom
"D74","D_Small","D_0603_1608Metric",115.150000,-123.000000,270.000000,bottom
"D75","D_Small","D_0603_1608Metric",242.650000,-123.000000,270.000000,bottom
"D76","D_Small","D_0603_1608Metric",261.650000,-123.000000,270.000000,bottom
"D77","D_Small","D_0603_1608Metric",280.650000,-123.000000,270.000000,bottom
"D78","D_Small","D_0603_1608Metric",299.650000,-123.000000,270.000000,bottom
"D79","D_Small","D_0603_1608Metric",318.650000,-123.000000,270.000000,bottom
"D80","D_Small","D_0603_1608Metric",337.650000,-123.000000,270.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",28.194000,-17.780000,90.000000,bottom
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",346.710000,-17.780000,270.000000,bottom
"J3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",74.168000,-20.320000,180.000000,bottom
"J4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",325.120000,-20.320000,180.000000,bottom
"J5","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",152.146000,-17.780000,270.000000,bottom
"J6","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Amphenol_12401548E4-2A",222.758000,-17.780000,90.000000,bottom
"R1","5.1k","R_0603_1608Metric",35.052000,-19.812000,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",339.852000,-15.748000,270.000000,bottom
"R3","5.1k","R_0603_1608Metric",35.814000,-13.208000,0.000000,bottom
"R4","5.1k","R_0603_1608Metric",339.344000,-22.352000,0.000000,bottom
"R5","22","R_0603_1608Metric",35.814000,-16.256000,180.000000,bottom
"R6","22","R_0603_1608Metric",337.566000,-18.034000,0.000000,bottom
"R7","22","R_0603_1608Metric",37.338000,-20.574000,180.000000,bottom
"R8","22","R_0603_1608Metric",337.566000,-14.986000,0.000000,bottom
"R9","1k","R_0603_1608Metric",51.054000,-25.400000,0.000000,bottom
"R10","1k","R_0603_1608Metric",297.942000,-21.844000,270.000000,bottom
"R11","10k","R_0603_1608Metric",71.628000,-23.114000,90.000000,bottom
"R12","10k","R_0603_1608Metric",322.326000,-20.003000,90.000000,bottom
"R13","22","R_0603_1608Metric",144.272000,-18.034000,0.000000,bottom
"R14","22","R_0603_1608Metric",230.632000,-17.526000,180.000000,bottom
"R15","22","R_0603_1608Metric",144.272000,-13.208000,0.000000,bottom
"R16","22","R_0603_1608Metric",230.632000,-22.352000,180.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",57.404000,-17.780000,270.000000,bottom
"U2","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",305.562000,-17.780000,270.000000,bottom
"Y1","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",68.072000,-21.336000,90.000000,bottom
"Y2","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",318.516000,-21.590000,90.000000,bottom
